experiment,train_f1,train_precision,train_recall,train_accuracy,train_auc,cv_f1,cv_precision,cv_recall,cv_accuracy,cv_auc,test_f1,test_auc,test_precision,test_recall,test_accuracy,tuned_threshold,best_params
XGB__S2,0.983,0.9782,0.9878,0.988,0.9993,0.9572,0.953,0.9613,0.9699,0.9954,0.9576,0.9951,0.9497,0.9657,0.9701,0.4,"{'model__device': 'cuda', 'model__gamma': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__n_estimators': 500, 'model__reg_lambda': 5.0, 'model__subsample': 0.8}"
XGB__S1,0.9835,0.9809,0.9861,0.9884,0.9992,0.9569,0.9569,0.9569,0.9698,0.9953,0.959,0.9952,0.953,0.9651,0.9712,0.43,"{'model__device': 'cuda', 'model__gamma': 0.1, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__min_child_weight': 5, 'model__n_estimators': 500, 'model__reg_lambda': 5.0, 'model__subsample': 0.8}"
RF__S1,0.9597,0.9644,0.9552,0.972,0.9968,0.9452,0.9519,0.9385,0.9619,0.993,0.9452,0.9929,0.9491,0.9413,0.9618,0.54,"{'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 500}"
RF__S2,0.96,0.9672,0.9529,0.9722,0.9965,0.9452,0.9548,0.9357,0.962,0.9928,0.9451,0.9926,0.9512,0.9392,0.9619,0.63,"{'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 500}"
LINEAR_SVC__S1,0.8984,0.8916,0.9053,0.9284,0.9776,0.9027,0.8969,0.9085,0.9315,0.9787,0.898,0.9767,0.8925,0.9036,0.9282,0.51,"{'model__estimator__C': 100, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'model__estimator__penalty': 'l2'}"
LR__S1,0.8982,0.8898,0.9068,0.9281,0.9775,0.9025,0.896,0.9092,0.9313,0.9785,0.8978,0.9768,0.8909,0.9049,0.928,0.51,"{'model__C': 1, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__solver': 'saga'}"
LR__S2,0.8975,0.8888,0.9063,0.9276,0.9774,0.9024,0.8942,0.9107,0.9311,0.9786,0.8967,0.9767,0.8897,0.9038,0.9272,0.65,"{'model__C': 10, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__solver': 'saga'}"
LINEAR_SVC__S2,0.8963,0.888,0.9046,0.9268,0.9775,0.9021,0.8946,0.9098,0.931,0.9787,0.8969,0.9764,0.8897,0.9042,0.9273,0.67,"{'model__estimator__C': 100, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'model__estimator__penalty': 'l2'}"
LR__S4,0.8943,0.875,0.9144,0.9244,0.9718,0.8995,0.883,0.9166,0.9283,0.9734,0.8969,0.9733,0.8826,0.9118,0.9267,0.5,"{'model__C': 1, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__solver': 'saga'}"
LR__S3,0.8942,0.872,0.9175,0.9241,0.9716,0.8979,0.8798,0.9167,0.9271,0.973,0.8976,0.973,0.8815,0.9144,0.9271,0.35,"{'model__C': 10, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__solver': 'saga'}"
LINEAR_SVC__S4,0.8938,0.8771,0.9111,0.9243,0.9717,0.8972,0.8831,0.9116,0.9269,0.9734,0.8953,0.9732,0.8832,0.9077,0.9258,0.51,"{'model__estimator__C': 0.01, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'model__estimator__penalty': 'l2'}"
LINEAR_SVC__S3,0.893,0.8663,0.9214,0.9228,0.9717,0.897,0.8737,0.9216,0.926,0.9732,0.8963,0.9731,0.8743,0.9193,0.9256,0.33,"{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'model__estimator__penalty': 'l2'}"
LR__S5,0.8934,0.8798,0.9075,0.9243,0.9749,0.8969,0.8884,0.9056,0.9272,0.9759,0.8915,0.974,0.8795,0.9038,0.9231,0.51,"{'model__C': 1, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__solver': 'saga'}"
LINEAR_SVC__S5,0.8924,0.8869,0.898,0.9243,0.9747,0.8962,0.895,0.8974,0.9273,0.9757,0.8899,0.9739,0.8861,0.8938,0.9227,0.53,"{'model__estimator__C': 10, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'model__estimator__penalty': 'l2'}"
LINEAR_SVC__S6,0.8872,0.8807,0.8938,0.9205,0.9734,0.8915,0.8891,0.8939,0.9239,0.9746,0.8877,0.9726,0.8824,0.8931,0.921,0.69,"{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'model__estimator__penalty': 'l2'}"
LR__S6,0.8886,0.8764,0.9011,0.921,0.9734,0.8912,0.8826,0.9,0.9232,0.9744,0.8881,0.9726,0.8771,0.8995,0.9208,0.66,"{'model__C': 1, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__solver': 'saga'}"
